2026-08-24 22:52:21,080 | INFO | app.main | POST /auth/login -> 200 (0.073s)
2026-08-24 22:52:21,434 | INFO | app.main | GET /auth/me -> 200 (0.003s)
2026-08-24 22:52:21,546 | INFO | app.main | GET /chats/ -> 200 (0.011s)
2026-08-24 22:52:21,567 | INFO | app.main | GET /users/2/block-status -> 200 (0.004s)
2026-08-24 22:52:21,575 | INFO | app.services.message_service | Unread counts loaded: user_id=1 chat_count=0
2026-08-24 22:52:21,575 | INFO | app.main | GET /messages/unread/counts -> 200 (0.004s)
2026-08-24 22:52:21,591 | INFO | app.main | GET /users/2/status -> 200 (0.004s)
2026-08-24 22:52:21,900 | INFO | app.websocket.chat_ws | Notification WebSocket connected: user_id=1 connections=1
2026-08-24 22:52:21,900 | INFO | app.api.websocket_routes | Notification WebSocket connected: user_id=1
2026-08-24 22:52:22,004 | INFO | app.websocket.chat_ws | Broadcasting user status: user_id=1 status=online members=1
2026-08-24 22:52:23,932 | INFO | app.api.user | User status updated: user_id=1 status=offline
2026-08-24 22:52:23,934 | INFO | app.main | POST /users/me/status -> 200 (0.101s)
2026-08-24 22:52:23,945 | INFO | app.api.websocket_routes | Notification WebSocket disconnected: user_id=1 code=1005
2026-08-24 22:52:23,946 | INFO | app.websocket.chat_ws | User went offline: user_id=1
2026-08-24 22:52:23,946 | INFO | app.api.websocket_routes | Notification WebSocket disconnected: user_id=1 became_offline=True
2026-08-24 22:52:24,022 | INFO | app.websocket.chat_ws | Broadcasting user status: user_id=1 status=offline members=1
2026-08-24 22:52:24,106 | INFO | app.api.user | User status updated: user_id=1 status=away
2026-08-24 22:52:24,107 | INFO | app.main | POST /users/me/status -> 200 (0.084s)
2026-08-24 22:52:26,421 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:52:26,421 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:52:26,422 | INFO | app.main | POST /auth/login -> 401 (0.055s)
2026-08-24 22:52:26,985 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:52:26,986 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:52:26,986 | INFO | app.main | POST /auth/login -> 401 (0.057s)
2026-08-24 22:52:27,690 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:52:27,690 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:52:27,691 | INFO | app.main | POST /auth/login -> 401 (0.063s)
2026-08-24 22:52:28,174 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:52:28,174 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:52:28,175 | INFO | app.main | POST /auth/login -> 401 (0.053s)
2026-08-24 22:52:28,586 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:52:28,586 | WARNING | app.services.rate_limit_service | Login brute-force protection triggered: ip=127.0.0.1 attempts=5 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:28,586 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:52:28,586 | INFO | app.main | POST /auth/login -> 401 (0.054s)
2026-08-24 22:52:29,078 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:29,078 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:29,078 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:52:32,699 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:32,699 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:32,699 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:52:35,188 | INFO | app.main | GET /login.html -> 200 (0.001s)
2026-08-24 22:52:35,207 | INFO | app.main | GET /css/login.css -> 200 (0.001s)
2026-08-24 22:52:35,216 | INFO | app.main | GET /js/logger.js -> 200 (0.001s)
2026-08-24 22:52:35,236 | INFO | app.main | GET /js/config.js -> 200 (0.001s)
2026-08-24 22:52:35,237 | INFO | app.main | GET /js/login.js -> 200 (0.002s)
2026-08-24 22:52:35,275 | INFO | app.main | GET /static/favicon.ico -> 200 (0.001s)
2026-08-24 22:52:36,676 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:36,676 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:36,676 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:52:40,784 | INFO | app.main | GET /login.html -> 200 (0.001s)
2026-08-24 22:52:40,815 | INFO | app.main | GET /css/login.css -> 200 (0.001s)
2026-08-24 22:52:40,823 | INFO | app.main | GET /js/logger.js -> 200 (0.001s)
2026-08-24 22:52:40,829 | INFO | app.main | GET /js/config.js -> 200 (0.001s)
2026-08-24 22:52:40,839 | INFO | app.main | GET /js/login.js -> 200 (0.001s)
2026-08-24 22:52:40,879 | INFO | app.main | GET /static/favicon.ico -> 200 (0.001s)
2026-08-24 22:52:41,574 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:41,574 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:41,574 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:52:45,528 | INFO | app.main | GET /login.html -> 200 (0.001s)
2026-08-24 22:52:45,548 | INFO | app.main | GET /css/login.css -> 200 (0.001s)
2026-08-24 22:52:45,560 | INFO | app.main | GET /js/logger.js -> 200 (0.001s)
2026-08-24 22:52:45,576 | INFO | app.main | GET /js/config.js -> 200 (0.001s)
2026-08-24 22:52:45,578 | INFO | app.main | GET /js/login.js -> 200 (0.001s)
2026-08-24 22:52:45,619 | INFO | app.main | GET /static/favicon.ico -> 200 (0.001s)
2026-08-24 22:52:46,242 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:46,242 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:46,242 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:52:52,719 | INFO | app.main | GET /login.html -> 200 (0.003s)
2026-08-24 22:52:52,754 | INFO | app.main | GET /css/login.css -> 200 (0.001s)
2026-08-24 22:52:52,765 | INFO | app.main | GET /js/logger.js -> 200 (0.001s)
2026-08-24 22:52:52,780 | INFO | app.main | GET /js/config.js -> 200 (0.001s)
2026-08-24 22:52:52,784 | INFO | app.main | GET /js/login.js -> 200 (0.001s)
2026-08-24 22:52:52,823 | INFO | app.main | GET /static/favicon.ico -> 200 (0.001s)
2026-08-24 22:52:55,660 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:55,660 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:55,661 | INFO | app.main | POST /auth/login -> 429 (0.004s)
2026-08-24 22:52:55,667 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:07:28.586205
2026-08-24 22:52:55,667 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:52:55,669 | INFO | app.main | POST /auth/login -> 429 (0.004s)
2026-08-24 22:53:27,978 | INFO | app.main | Application shutdown
2026-08-24 22:53:28,869 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:28,889 | INFO | app.main | API routers initialized
2026-08-24 22:53:28,889 | INFO | app.main | Static files mounted
2026-08-24 22:53:28,890 | INFO | app.main | Application startup
2026-08-24 22:53:28,892 | INFO | app.main | Database tables initialized
